business_or_person,category
westwingnow.de ,home
wholefds cgb ,groceries
wholefds goc ,groceries
winn-dixie   ,groceries
www.bodum.com,home
wynwood walls llc,entertainment
xxxlutz wien ,home
yesss.at,utilities
zara ,merchandise
zen wine & spirits,groceries
denn s wien mariahstr,merchandise
ef-d--,merchandise
home se,home
"artistworks, llc",home
amazon.de,merchandise
chatterbug learning,learning
italki hk limited,learning
lpd wien - verkehrsamt,car/bike/metro
piano teachers connect,learning
vienna piano,learning
wr.staedt.vers. ,car/bike/metro
commune d antibes,car/bike/metro
commune de nice,car/bike/metro
csc serviceworks ultra,car/bike/metro
fairchild garden,entertainment
fit fabrik walcherstr.,exercise
gfm*gofundme annely ho,donation
ma  weingut cobenzl,dining
me group austria gmbh,dining
rmngp musee chagall,entertainment
stadt wien ma  hütte,exercise
stadt wien ma  jörge,exercise
stadt wien ma  kongr,exercise
tamiami park,exercise
usps po ,merchandise
airbnb  hmefrd,travel
airbnb * hmaqzcr,travel
autostradale srl,car/bike/metro
bremer stra enbahn ag,car/bike/metro
cless ticket atm milan,car/bike/metro
db vertrieb gmbh,travel
federal express gmbh,merchandise
kiwi.com,travel
lyft    ride -,car/bike/metro
lyft    rides -,car/bike/metro
loja portuguez,car/bike/metro
metro barcelona,car/bike/metro
nextbike by tier,car/bike/metro
nextbikeatvienna,car/bike/metro
oebb ticket automat,travel
regie ligne d azur,car/bike/metro
renfe ave  ,travel
sncf,travel
tui airlines ecom,travel
tier mobility se,car/bike/metro
uber   trip,car/bike/metro
uber *trip help.uber.c,car/bike/metro
ventra account,car/bike/metro
ventra mobile,car/bike/metro
wiener linien ,car/bike/metro
www.headout.com,travel
tmobile*prepaid web,utilities
etsy.com - ikechop,home
sumup  *m.a.c.- hoffma,dining
tip,donation
kaffeekuche,dining
das kolin,dining
sumup  *cafe comet,dining
cafe savoy,dining
hbla für gartenbau und,home
cafe konditorei heiner,dining
uzr*bergzeit.at,exercise
secret garden,home
tjx oesterreich ltd.,merchandise
webshop burgtheater,entertainment
florida driving recor,car/bike/metro
st martin kg,groceries
apapika bowls,dining
der kunstverein in bre,entertainment
alex bremen (),dining
paypal *vbn,merchandise
emma am see,dining
spielbar,entertainment
obi bau-und heimwerker,home
sport & fun halle otta,entertainment
würstelstand albertina,dining
sumup *caffecouture,dining
sumup *baharak & nima,dining
sumup  *ikonomu konsta,merchandise
sumup  *kaffeefabrik s,dining
gerstner k u k,dining
village gallery,entertainment
dean & david europlaza,dining
ryanairtpmcxa,travel
etsy.com - plantscrape,merchandise
